doi	affiliations	countries	properties
10.1109/GCCE.2017.8229305	The Graduate School of Global Media, Komazawa University, Tokyo, Japan;Faculty of Global Media Studies, Komazawa University, Tokyo, Japan;Faculty of Global Media Studies, Komazawa University, Tokyo, Japan	Japan	body,participatory design,top down,furniture
10.1109/EECS.2017.80		Unknown	ideation,furniture,stakeholders,top down,diversity
10.1109/ICMEW.2013.6618401	Discover Lab, University of Ottawa, USA;Discover Lab, University of Ottawa, USA;Discover Lab, University of Ottawa, USA	United States	body,ideation,stakeholders,top down,wearables
10.1109/UEMCON.2017.8249007	Department of Engineering Technology, Purdue University Northwest, Westville, Indiana, USA;Department of Engineering Technology, Purdue University Northwest, Westville, Indiana, USA;Department of Engineering Technology, Purdue University Northwest, Westville, Indiana, USA;Department of Engineering Technology, Purdue University Northwest, Westville, Indiana, USA;Department of Engineering Technology, Purdue University Northwest, Westville, Indiana, USA	India	stakeholders,participatory design,top down
10.1109/TCE.2017.014777	Department of Information Management, National Taiwan University, No. 1, Sec. 4, Roosevelt Rd., Taipei 10617, Taiwan;Department of Computer Science & Information Engineering, National Taiwan University, Taipei, Taiwan;Data Communications Branch, Chunghwa Telecom, Taipei, Taiwan;Department of Information Management, National Taiwan University, Taipei, Taiwan	Taiwan	involvement,stakeholders,top down
10.1109/WOCN.2013.6616254	Faculty of Applied Sciences University of Sunderland Chester Road, Sunderland, SR1 3SD, UK;School of Engineering &amp;Mathematical Sciences City University London Northampton Square, London, EC1V 0RB, UK	Unknown	body,top down
10.1109/ICCE-TW.2016.7521072		Unknown	involvement,prototype,top down,stakeholders,wearables
10.1109/JPROC.2013.2270172	Colorado State University, Fort Collins, CO, USA;Colorado State University, Fort Collins, CO, USA;Colorado State University, Fort Collins, CO, USA;Research Institute on Transportation, Energy and Society (IRTES-SET) , University of Technology of Belfort-Montbéliard, Belfort , France;National Renewable Energy Laboratory, Golden , CO, USA;National Renewable Energy Laboratory, Golden, CO, USA;Fort Collins Utilities, Fort Collins, CO, USA;Colorado State University, Fort Collins, CO, USA	France	involvement,ideation,top down
10.1109/I2MTC.2018.8409757	Computer and Information Technology, Politehnica University of Timisoara, Timisoara, Romania;Safety of Installations and Explosion-Proof Equipment, INSEMEX, Petrosani, Romania;Computer and Information Technology, Politehnica University of Timisoara, Timisoara, Romania	Oman;Romania	body,top down
10.1109/ICIEECT.2017.7916544	Department of Electrical Engineering, National University of Computer and Emerging Sciences, Peshawar, Pakistan;Department of Electrical Engineering, National University of Computer and Emerging Sciences, Peshawar, Pakistan	Pakistan	involvement,prototype,top down,stakeholders,participatory design,wearables
10.1109/ISCE.2017.8355551	Intelligence Computing Group, Dept. of Computer Science, Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Malaysia;Intelligence Computing Group, Dept. of Computer Science, Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Malaysia;Intelligence Computing Group, Dept. of Computer Science, Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Malaysia;Intelligence Computing Group, Dept. of Computer Science, Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Malaysia	Malaysia	body,involvement,top down,diversity,environmental
10.1109/CAC.2017.8243436	College of Energy and Electrical Engineering, Hohai University, Nanjing, Jiangsu;College of Computer and Information, Hohai University, Nanjing, Jiangsu;College of Energy and Electrical Engineering, Hohai University, Nanjing, Jiangsu;College of Energy and Electrical Engineering, Hohai University, Nanjing, Jiangsu;College of Energy and Electrical Engineering, Hohai University, Nanjing, Jiangsu;College of Energy and Electrical Engineering, Hohai University, Nanjing, Jiangsu	Unknown	body,stakeholders,prototype,top down,participatory design
10.1109/GCCE.2014.7031329	School of Mechanical Eng., Pusan National University, Busan, Korea;School of Mechanical Eng., Pusan National University, Busan, Korea;School of Mechanical Eng., Pusan National University, Busan, Korea;Dept. of Mechanical &amp;Automotive Eng., Pukyong National University, Busan, Korea;Dept. of Control and Instrumentation Eng., Pukyong National University, Busan, Korea;Dept. of Control and Instrumentation Eng., Pukyong National University, Busan, Korea	Unknown	body,involvement,top down,furniture
10.1109/JBHI.2015.2445754	School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA;School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA;Department of Psychology, Washington State University, Pullman, WA, USA	United States	body,top down
10.1109/TSG.2014.2352650	Department of Electrical-Electronics Engineering, Istanbul Arel University, Istanbul, Turkey;University of Beira Interior, Covilhã, Portugal;University of Beira Interior, Covilhã, Portugal;Aristotle University of Thessaloniki, Thessaloniki, Greece;University of Beira Interior, Covilhã, Portugal	Greece;Portugal;Turkey	body,involvement,top down
10.1109/ICCE-TW.2015.7216971		Unknown	involvement,prototype,top down,stakeholders,participatory design
10.1109/ICONSTEM.2017.8261311	Department of Computer Science, Rajalakshmi Institute of Technology, India;UG, Department of Computer Science, Rajalakshmi Institute of Technology, India;UG, Department of Computer Science, Rajalakshmi Institute of Technology, India;UG, Department of Computer Science, Rajalakshmi Institute of Technology, India;UG, Department of Computer Science, Rajalakshmi Institute of Technology, India	India	body,involvement,ideation,furniture,stakeholders,top down,wearables
10.1109/ACSAT.2013.90		Unknown	stakeholders,top down,wearables
10.1109/ICIEA.2015.7334398	College of Engineering and Science, Victoria University, Melbourne, Australia;School of Electrical and Computer Engineering, Carnegie-Mellon University, Pittsburgh, USA;College of Engineering and Science, Victoria University, Melbourne, Australia	Australia	body,stakeholders,prototype,top down,wearables
10.23919/SOFTCOM.2017.8115585	FESB, University of Split, Split, Croatia	Croatia	body,top down,wearables
10.1109/ICUFN.2017.7993834	Department of Electrical Engineering, School of Electrical and Computer Engineering, College of Engineering, Chang Gung University, Tao-Yuan, 33302 Taiwan;Department of Electrical Engineering, School of Electrical and Computer Engineering, College of Engineering, Chang Gung University, Tao-Yuan, 33302 Taiwan	Taiwan	stakeholders,top down
10.1109/ICSMC.2009.5346916	Dept. of Computer Science and Information Engineering;Dept. of Computer Science and Information Engineering;Dept. of Electrical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan	Taiwan	body,participatory design,top down
10.1109/INDIN.2009.5195816	Energy & Environmental Research Laboratories, Industrial Technology Research Institute, Taiwan;Energy & Environmental Research Laboratories, Industrial Technology Research Institute, Taiwan;Energy & Environmental Research Laboratories, Industrial Technology Research Institute, Taiwan;Department of Computer Science and Information Engineering, National Central University, Taiwan	Taiwan	body,involvement,ideation,stakeholders,top down,workflow,participatory design
10.1109/ICIST.2012.6221744	College of Information Science and Engineering, Hunan University, Changsha, China;College of Information Science and Engineering, Hunan University, Changsha, China	China	body,top down
10.1109/IIH-MSP.2014.172		Unknown	stakeholders,top down,wearables
10.1109/CSE.2014.351		Unknown	body,stakeholders,participatory design,top down
10.1109/TETC.2015.2484841	Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA;School of Computer Science, China University of Geosciences, Wuhan, China;School of Information Technologies, The University of Sydney, Sydney, NSW, Australia;School of Computer Science, China University of Geosciences, Wuhan, China;Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA	Australia;China	body,top down
10.1109/ICCE-Berlin.2017.8210649	Faculty of Technical Sciences, University of Novi Sad, Serbia;Faculty of Technical Sciences, University of Novi Sad, Serbia;Faculty of Technical Sciences, University of Novi Sad, Serbia	Serbia	stakeholders,top down
10.1109/ICCE-Berlin.2015.7391278	Control and Computing Department, Faculty of Technical Sciences,. Novi Sad, Serbia;Control and Computing Department, Faculty of Technical Sciences,. Novi Sad, Serbia;RT-RK Institute for Computer Based Systems, Novi Sad, Serbia;RT-RK Institute for Computer Based Systems, Novi Sad, Serbia	Serbia	stakeholders,ideation,top down
10.1109/CompComm.2016.7925106	School of Computer Science and Software Engineering, East China Normal University, Shanghai, China;School of Computer Science and Software Engineering, East China Normal University, Shanghai, China;School of Computer Science and Software Engineering, East China Normal University, Shanghai, China;School of Computer Science and Software Engineering, East China Normal University, Shanghai, China	China	stakeholders,top down
10.1109/CCNC.2017.7983179	Department of Electrical, Computer and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, L1H 7K4 Canada;Department of Electrical, Computer and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, L1H 7K4 Canada;Department of Electrical, Computer and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, L1H 7K4 Canada	Canada	stakeholders,participatory design,top down,wearables
10.1109/ICTC.2011.6082560	KNU (Korea Nazarene University), Depart. of Multimedia, Korea Nazarene University, 456 Ssangyoung-dong, Cheonan, Choongnam, Korea;KNU (Korea Nazarene University), Depart. of Multimedia, Korea Nazarene University, 456 Ssangyoung-dong, Cheonan, Choongnam, Korea	Unknown	environmental,top down,furniture
10.1109/ISGT.2010.5434771	Hyderabad, India;Hyderabad, India;Hyderabad, India	India	body,feedback,top down
10.1109/PIMRC.2017.8292682	École Polytechnique de Montréal, CIRODD, Montréal, Canada;École Polytechnique de Montréal, CIRODD, Montréal, Canada;École Polytechnique de Montréal, CIRODD, Montréal, Canada;Université du Québec à Montréal, CIRODD, Montréal, Canada;École de Technologie Supérieure Synchromedia, CIRODD, Montréal, Canada	Canada	involvement,stakeholders,top down,environmental,participatory design
10.1109/INDICON.2015.7443538	Jaypee University of Information Technology;Solan, India;LNM Institute of Information Technology;Jaipur, India;LNM Institute of Information Technology;Jaipur, India;LNM Institute of Information Technology;Jaipur, India;LNM Institute of Information Technology;Jaipur, India;Indian Institute of Information Technology Chittoor;Sri City, India	India	body,involvement,ideation,stakeholders,prototype,top down
10.1109/ICCE.2018.8326256	Graduate School of Science and Technology, Meijo University, Aichi, Japan 468-8502;Graduate School of Science and Technology, Meijo University, Aichi, Japan 468-8502;Graduate School of Science and Technology, Meijo University, Aichi, Japan 468-8502;Faculty of Information Science, Aichi Institute of Technology, Aichi, Japan 470-0392	Japan	stakeholders,prototype,top down
10.1109/TCE.2010.5606276	Green Home Energy Center in the Kongju National University, Republic of Korea;Chung-Ang University, Republic of Korea	Unknown	involvement,participatory design,top down,stakeholders
10.1109/ISGTEurope.2013.6695357	Technische Universität München, Germany;Technische Universität München, Germany;Technische Universität München, Germany	Germany	body,top down
10.1109/ICACCI.2013.6637245	Center for Wireless Networks and Applications, Amrita Vishwa Vidyapeetham, Amritapuri, Kollam, India;Center for Wireless Networks and Applications, Amrita Vishwa Vidyapeetham, Amritapuri, Kollam, India;Center for Wireless Networks and Applications, Amrita Vishwa Vidyapeetham, Amritapuri, Kollam, India	India	body,furniture,stakeholders,top down,participatory design
10.1109/MSP.2017.43	University of Michigan;University of Michigan;Samsung;University of Michigan	Unknown	stakeholders,top down
10.1109/ICCSNT.2013.6967328	Department of automation Communication University of China Beijing, China, 100024;Department of automation Communication University of China Beijing, China, 100024;Department of automation Communication University of China Beijing, China, 100024	China	participatory design,top down
10.1109/PDGC.2016.7913139	Computer Science Department, DCRUST, Murthal, India;Computer Science Department, DCRUST, Murthal, India	India	ideation,top down
10.1109/MCIT.2010.5444847	Computer Science and Engineering department, Faculty of Electronics Engineering, Minufiya University, Menouf, 32952, El-Menoufiya, Egypt;Computer Science and Engineering department, Faculty of Electronics Engineering, Minufiya University, Menouf, 32952, El-Menoufiya, Egypt;Computer Science and Engineering department, Faculty of Electronics Engineering, Minufiya University, Menouf, 32952, El-Menoufiya, Egypt	Egypt	furniture,top down
10.1109/ICCE-Berlin.2013.6697984	Project Manager, T-Systems, St-Petersburg, Russia;Gazprom Promgaz, St-Petersburg, Russia;Post-graduate student, SPbGU Politech St-Petersburg, Russia	Unknown	stakeholders,top down
10.1109/ICPES.2017.8387287	Dept. Electrical and Electronics Engineering, National Institute of Technology, Goa, India;Dept. Electrical and Electronics Engineering, National Institute of Technology, Goa, India;Dept. Electrical and Electronics Engineering, National Institute of Technology, Goa, India;Dept. Electrical and Electronics Engineering, National Institute of Technology, Goa, India;Dept. Electrical and Electronics Engineering, National Institute of Technology, Goa, India	India	body,stakeholders,prototype,top down,participatory design,wearables
10.1109/ISMS.2016.64		Unknown	body,top down,context
10.1109/LT.2018.8368485	Electrical and Computer Engineering Department, Effat University, Jeddah, KSA;Electrical and Computer Engineering Department, Effat University, Jeddah, KSA;Electrical and Computer Engineering Department, Effat University, Jeddah, KSA;Electrical and Computer Engineering Department, Effat University, Jeddah, KSA	Unknown	body,ideation,furniture,top down,participatory design,wearables
10.1109/ISGT.2012.6175616	Institute of Applied Informatics and Formal Description Methods, Karlsruhe Institute of Technology, Germany;Institute of Applied Informatics and Formal Description Methods, Karlsruhe Institute of Technology, Germany;Institute of Applied Informatics and Formal Description Methods, Karlsruhe Institute of Technology, Germany	Germany	stakeholders,top down
10.1109/IRSEC.2016.7983908	Electrical engineering department, Mohammadia School of Engineers (EMI), Mohammed V University in Rabat, Morocco;Electrical engineering department, Mohammadia School of Engineers (EMI), Mohammed V University in Rabat, Morocco;Electrical engineering department, Mohammadia School of Engineers (EMI), Mohammed V University in Rabat, Morocco	Morocco	environmental,stakeholders,top down
10.1109/ICUFN.2012.6261713	SEECS, University of Ottawa, Canada;SEECS, University of Ottawa, Canada;University of Waterloo, Canada	Canada	stakeholders,top down
10.1109/INDIN.2014.6945490	Pontifical Catholic University of Rio Grande do Sul Porto Alegre, RS 90619-900 Brazil;Pontifical Catholic University of Rio Grande do Sul Porto Alegre, RS 90619-900 Brazil	Brazil	stakeholders,top down
10.1109/ICISSEC.2015.7370969		Unknown	body,involvement,top down,furniture
10.1109/ICoICT.2016.7571927	Microelectronics Center, Institut Teknologi Bandung, Indonesia;Microelectronics Center, Institut Teknologi Bandung, Indonesia;Microelectronics Center, Institut Teknologi Bandung, Indonesia;Microelectronics Center, Institut Teknologi Bandung, Indonesia;Microelectronics Center, Institut Teknologi Bandung, Indonesia;Microelectronics Center, Institut Teknologi Bandung, Indonesia;Microelectronics Center, Institut Teknologi Bandung, Indonesia	Indonesia	body,furniture,stakeholders,prototype,top down,participatory design,wearables
10.1109/ICICES.2017.8070788	Trinity College of Engineering and Research, Information Technology Department, Pune, India;Trinity College of Engineering and Research, Information Technology Department, Pune, India;Trinity College of Engineering and Research, Information Technology Department, Pune, India;Trinity College of Engineering and Research, Information Technology Department, Pune, India	India	top down,wearables
10.1109/MUE.2009.51		Unknown	furniture,stakeholders,top down,context
10.1109/ICCE.2016.7430605	Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan;Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan;Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan;Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan;Department of Electronic Engineering, Southern Taiwan University of Science and Technology, Tainan, Taiwan	Taiwan	involvement,stakeholders,top down
10.1109/INDIN.2009.5195838	inAccess Networks, Athens, Greece;inAccess Networks, Athens, Greece;inAccess Networks, Athens, Greece;inAccess Networks, Athens, Greece;inAccess Networks, Athens, Greece	Greece	participatory design,top down
10.1109/SMC.2015.267		Unknown	body,stakeholders,prototype,top down
10.1109/EIConRus.2017.7910676	Electrical Engineering Faculty, Perm National Research Polytechnic University “PNRPU”, Perm, Russia;Electrical Engineering Faculty, Perm National Research Polytechnic University “PNRPU”, Perm, Russia	Unknown	body,stakeholders,top down
10.1109/GCCE.2017.8229249	Department of Computer Science, Faculty of Science and Technology, Thammasat University, Pathum Thani, Thailand;School of Information Science, Japan Advanced Institute of Science and Technology, Ishikawa, Japan;School of Information Science, Japan Advanced Institute of Science and Technology, Ishikawa, Japan	Japan;Thailand	body,stakeholders,participatory design,top down
10.1109/SCORED.2016.7810055	Centre for Systems and Machines Intelligence, College of Engineering, Universiti Tenaga Nasional, Kajang, Selangor, Malaysia;Centre for Systems and Machines Intelligence, College of Engineering, Universiti Tenaga Nasional, Kajang, Selangor, Malaysia;Centre for Systems and Machines Intelligence, College of Engineering, Universiti Tenaga Nasional, Kajang, Selangor, Malaysia	Malaysia	involvement,ideation,prototype,top down,stakeholders,participatory design
10.1109/RAIT.2018.8389037	Dept. of Computer Science and Engineering, DSPM-IIIT Naya Raipur, India;Dept. of Computer Science and Engineering, DSPM-IIIT Naya Raipur, India;Dept. of Computer Science and Engineering, DSPM-IIIT Naya Raipur, India;Dept. of Computer Science and Engineering, DSPM-IIIT Naya Raipur, India	India	body,involvement,prototype,top down
10.1109/PACCS.2011.5990218		Unknown	participatory design,top down
10.1109/CC.2015.7114067	School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China;School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China;School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China;School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China;School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China	China	ideation,top down
10.1109/IMCCC.2016.19		Unknown	involvement,stakeholders,top down,diversity,feedback
10.1109/YAC.2018.8406424	Fujian Industry Technology Development Base of Industrial Integration Automation, Fujian University of Technology, Fuzhou, China;Fujian Industry Technology Development Base of Industrial Integration Automation, Fujian University of Technology, Fuzhou, China;Fujian Industry Technology Development Base of Industrial Integration Automation, Fujian University of Technology, Fuzhou, China;Faculty of Physical Education and Sports Science, Zhejiang University, Hangzhou, China	China	furniture,stakeholders,participatory design,top down
10.23919/MIPRO.2018.8400075	Department of Computer Scrence (MIT C stream- Data Science), University of Pretoria, Pretoria, 0002, South Africa;Department of Computer Scrence (MIT C stream- Data Science), University of Pretoria, Pretoria, 0002, South Africa;Department of Computer Scrence (MIT C stream- Data Science), University of Pretoria, Pretoria, 0002, South Africa;Department of Computer Science and Engineering, University for Information Science and Technology “St. Paul the Apostle”, Republic of Macedonia	Macedonia;South Africa	body,involvement,participatory design,top down
10.1109/CCNC.2017.7983199	School of Computer Science and Electronic Engineering, University of Essex, Colchester CO4 3SQ, United Kingdom;School of Computer Science and Electronic Engineering, University of Essex, Colchester CO4 3SQ, United Kingdom	United Kingdom	participatory design,top down
10.1109/UIC-ATC-ScalCom-CBDCom-IoP.2015.220		Unknown	body,top down
10.1109/JIOT.2018.2866998	Department of Electrical and Computer Engineering, University of Houston, Houston, TX 77204.;Department of Electrical and Computer Engineering, University of Houston, Houston, TX 77204.;Department of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK 74074.;Department of Computer Science, Virginia Tech University, Falls Church, VA 22043, and also with the.;Department of Electrical and Computer Engineering, University of Houston, Houston, TX 77204.;University of Houston, Houston, TX 77004, USA.	United States;Vatican	stakeholders,top down
ieeexploreieeeorgstampstampjsparnumber7946894		Unknown	body,top down,wearables
10.23919/ICACT.2017.7890101	College of Information &amp;Communication Engineering, Sungkyunkwan University, Korea;College of Software, Sungkyunkwan University, Korea	Unknown	body,stakeholders,top down,participatory design,wearables
10.1109/IEEESTD.2017.7944739		Unknown	involvement,top down
10.1109/SaCoNeT.2013.6654566	Chair for Operating Systems (F13) Technische Universitaet Muenchen Munich, Germany;Chair for Operating Systems (F13) Technische Universitaet Muenchen Munich, Germany	Germany	body,ideation,furniture,stakeholders,top down
10.1109/TSG.2012.2223242	Department of Electrical Engineering, University of Texas at Arlington, Arlington, TX, USA;Department of Electrical Engineering, University of Texas at Arlington, Arlington, TX, USA	United States	participatory design,top down
10.1109/IEEEGCC.2017.8448144	Dept. of Software Engineering at the College of Computer and Information Sciences, Prince Sultan University, Riyadh, Saudi Arabia;Dept. of Software Engineering at the College of Computer and Information Sciences, Prince Sultan University, Riyadh, Saudi Arabia	Saudi Arabia	body,prototype,top down,participatory design
10.1109/ICCE-Berlin.2014.7034262	T-Systems, St-Petersburg, Russia;St-Petersburg, Russia;SPbGU Politech, St-Petersburg, Russia	Unknown	body,stakeholders,top down
10.1109/ICEIEC.2013.6835464	School of Electronic and Communication Engineering of Shenzhen Polytechnic, Guangdong Province, China	China	body,participatory design,top down
10.1109/ICACCAF.2017.8344666	Department of Computer Science, Jamia Millia Islamia(A Central University) Jamia Nagar, New Delhi, India;Department of Computer Science, Jamia Millia Islamia(A Central University) Jamia Nagar, New Delhi, India;Department of Computer Science, Jamia Millia Islamia(A Central University) Jamia Nagar, New Delhi, India	India	body,stakeholders,top down
10.1109/ICISC.2018.8398858	CSE, Vidya Academy of Science and Technology, Thrissur, Kerela, India;Dept of CSE, Vidya Academy of Science and Technology, Thrissur, Kerela, India;Dept of CSE, Vidya Academy of Science and Technology, Thrissur, Kerela, India	India	ideation,top down
10.1109/IACC.2017.0048		Unknown	ideation,stakeholders,top down,environmental,participatory design,wearables
10.1109/CCNC.2012.6181049	School of Electrical Engineering and Computer Science, Washington State University, USA;School of Electrical Engineering and Computer Science, Washington State University, USA;Department of Psychology, Washington State University, USA;School of Electrical Engineering and Computer Science, Washington State University, USA;School of Electrical Engineering and Computer Science, Washington State University, USA;Department of Psychology, Washington State University, USA	United States	wearables,environmental,top down,context
10.1109/CCIS.2011.6045024	State Grid Information &amp;Telecommunication Co., Ltd. Beijing, P.R. China;Wuhan University, Luo-jia-shan, Wuchang, Wuhan, Hubei Province, P.R. China;Wuhan University, Luo-jia-shan, Wuchang, Wuhan, Hubei Province, P.R. China	China	diversity,involvement,stakeholders,top down
10.1109/ISPA.2011.9		Unknown	body,furniture,top down,participatory design,wearables
10.1109/ICSESS.2010.5552297	Department of Computer Science, Ocean University of China, QingDao, China;Department of Computer Science, Ocean University of China, QingDao, China;Department of Computer Science, Ocean University of China, QingDao, China;Department of Computer Science, Ocean University of China, QingDao, China	China	body,involvement,furniture,top down,participatory design
10.1109/ICCAS.2016.7832322	Department of Computer Engineering, Gachon University, Seongnam, Korea;Department of Computer Engineering, Gachon University, Seongnam, Korea	Unknown	body,ideation,top down
10.1109/TSG.2016.2606442	School of Automobile and Transportation, Xihua University, Chengdu, China;Energy, Controls, and Applications Laboratory, University of California at Berkeley, Berkeley, CA, USA;School of Automobile and Transportation, Xihua University, Chengdu, China;Energy, Controls, and Applications Laboratory, University of California at Berkeley, Berkeley, CA, USA	China	involvement,top down
10.1109/ICASEA.2018.8370946	Department of Electrical Engineering, University of Basrah, Basrah, Iraq;Department of Electrical Engineering, University of Basrah, Basrah, Iraq	Iraq	body,stakeholders,top down
10.1109/SmartTechCon.2017.8358441	Dept. of Computer Science and Engineering, Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Amrita University, India;Dept. of Computer Science and Engineering, Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Amrita University, India;Dept. of Computer Science and Engineering, Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Amrita University, India	India	involvement,stakeholders,top down,workflow,diversity,participatory design
10.1109/CONMEDIA.2017.8266047	Computer Engineering Department, Universitas Multimedia Nusantara, Scientia Garden, Jl. Boulevard Gading Serpong, Tangerang, Indonesia;Computer Engineering Department, Universitas Multimedia Nusantara, Scientia Garden, Jl. Boulevard Gading Serpong, Tangerang, Indonesia;Computer Engineering Department, Universitas Multimedia Nusantara, Scientia Garden, Jl. Boulevard Gading Serpong, Tangerang, Indonesia	Indonesia	involvement,participatory design,top down,stakeholders
10.1109/SMARTSENS.2015.7873584	Department of ECE, RGUKT-Nuzvid, Andhra Pradesh, India;Department of EEE, MVSREC, Hyderabad - Telangana, India;Centre for Advanced Studies in Electronics Science &amp;Technology, University of Hyderabad, Telangana, India	India	body,participatory design,top down
10.1109/IEMECON.2017.8079559	ECE Dept., Institute of Engineering and Management, Salt Lake, Kolkata;ECE Dept., Institute of Engineering and Management, Salt Lake, Kolkata;ECE Dept., Institute of Engineering and Management, Salt Lake, Kolkata;ECE Dept., Institute of Engineering and Management, Salt Lake, Kolkata;ECE Dept., Institute of Engineering and Management, Salt Lake, Kolkata;ECE Dept., Institute of Engineering and Management, Salt Lake, Kolkata;VLSI at VIT, Vellore	Unknown	environmental,participatory design,top down
10.1109/INDCOMP.2014.7011751	University-Business Innovation Centre, The University of Aizu, Aizuwakamatsu, Fukushima, Japan;University-Business Innovation Centre, The University of Aizu, Aizuwakamatsu, Fukushima, Japan;University-Business Innovation Centre, The University of Aizu, Aizuwakamatsu, Fukushima, Japan;University-Business Innovation Centre, The University of Aizu, Aizuwakamatsu, Fukushima, Japan;University-Business Innovation Centre, The University of Aizu, Aizuwakamatsu, Fukushima, Japan;University-Business Innovation Centre, The University of Aizu, Aizuwakamatsu, Fukushima, Japan	Japan	body,stakeholders,top down,wearables
10.1109/MWSCAS.2014.6908427	Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, 49931, USA;Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, 49931, USA;Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, 49931, USA;Department of Electrical and Computer Engineering, Michigan Technological University, Houghton, 49931, USA	United States	body,stakeholders,top down
10.1109/ICCSN.2011.6014020	School of Information Science and Engineering Guilin University of Technology Guilin, China;School of Information Science and Engineering Guilin University of Technology Guilin, China	China	furniture,participatory design,top down
10.1109/WiMOB.2012.6379162	Graduate School of System Informatics, Kobe University, 1-1 Rokkodai-cho, Nada, Hyogo 657-8501, JAPAN;Graduate School of System Informatics, Kobe University, 1-1 Rokkodai-cho, Nada, Hyogo 657-8501, JAPAN;Graduate School of System Informatics, Kobe University, 1-1 Rokkodai-cho, Nada, Hyogo 657-8501, JAPAN	Japan	stakeholders,participatory design,top down,wearables
10.1109/ISMS.2016.34		Unknown	prototype,top down,participatory design
10.1109/CSNT.2017.8418545	Department of IT, Institute of Technology & Science, Ghaziabad, India;Head of Electronics and Communication Engineering Department, WIT, UTU, Dehradun, India	India	body,top down,wearables,furniture
10.1109/DCOSS.2013.36		Unknown	body,involvement,stakeholders,top down
10.1109/IGBSG.2014.6835250	School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China;School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China;School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China;School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China;School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China	China	participatory design,top down
10.1109/IPACT.2017.8245193	2nd Year M. Tech (IT) student, SITE, VIT University, Vellore;School of Information Technology and Engineering, VIT University, Vellore	Italy	body,stakeholders,top down,workflow,environmental
10.1109/ICICISYS.2009.5358266	Department of Computer Science and Engineering, Hanyang University, Ansan, Korea;Department of Computer Science and Engineering, Hanyang University, Ansan, Korea	Unknown	body,stakeholders,top down,context,participatory design
10.1109/DEXA.2012.48		Unknown	stakeholders,top down
10.1109/iThings-GreenCom-CPSCom-SmartData.2016.41		Unknown	body,top down
10.1109/ISGTEurope.2013.6695332	Department of Electrical Engineering, Eindhoven University of Technology, The Netherlands;Department of Electrical Engineering, Eindhoven University of Technology, The Netherlands;Department of Electrical Engineering, Eindhoven University of Technology, The Netherlands	Netherlands	involvement,stakeholders,top down
10.1109/PACCS.2011.5990217		Unknown	body,participatory design,top down
10.1109/AIMS.2015.49		Unknown	stakeholders,participatory design,top down
10.1109/TSSA.2016.7871101	Telecommunication Engineering Department, School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Jalan Ganesha 10 40132, Indonesia;Telecommunication Engineering Department, School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Jalan Ganesha 10 40132, Indonesia	Indonesia	body,stakeholders,top down,participatory design,wearables
10.1109/WF-IoT.2015.7389126	iTechTool, Los Alto Hills CA USA;iTechTool, Los Alto Hills CA USA;School of ECE, Georgia Institute of Technology, Atlanta GA USA	Georgia	involvement,participatory design,top down
10.1109/ICOMICON.2017.8279092	Electrical Engineering Department, Gautam Buddha University, Greater Noida-201312, Uttar Pradesh, India;Electrical Engineering Department, Gautam Buddha University, Greater Noida-201312, Uttar Pradesh, India;Electrical Engineering Department, Gautam Buddha University, Greater Noida-201312, Uttar Pradesh, India	India	stakeholders,participatory design,top down
